code,name,account_type,currency,opening_balance
2635,"Utgående moms import av varor, 6 %",liability,SEK,0
2636,Utgående moms VMB 6 %,liability,SEK,0
2638,"Vilande utgående moms, 6 %",liability,SEK,0
2640,Ingående moms,liability,SEK,0
2641,Debiterad ingående moms,liability,SEK,0
2642,Debiterad ingående moms i anslutning till frivillig betalningsskyldighet,liability,SEK,0
2645,Beräknad ingående moms på förvärv från utlandet,liability,SEK,0
2646,Ingående moms på uthyrning,liability,SEK,0
2647,"Ingående moms, omvänd betalningsskyldighet varor och tjänster i Sverige",liability,SEK,0
2648,Vilande ingående moms,liability,SEK,0
2649,"Ingående moms, blandad verksamhet",liability,SEK,0
2650,Redovisningskonto för moms,liability,SEK,0
2660,Punktskatter,liability,SEK,0
2670,"Utgående moms på försäljning inom EU, OSS",liability,SEK,0
2710,Personalskatt,liability,SEK,0
2730,Lagstadgade sociala avgifter och särskild löneskatt,liability,SEK,0
2731,Avräkning lagstadgade sociala avgifter,liability,SEK,0
2732,Avräkning särskild löneskatt,liability,SEK,0
2740,Avtalade sociala avgifter,liability,SEK,0
2750,Utmätning i lön m.m.,liability,SEK,0
2760,Semestermedel,liability,SEK,0
2761,Avräkning semesterlöner,liability,SEK,0
2762,Semesterlönekassa,liability,SEK,0
2790,Övriga löneavdrag,liability,SEK,0
2791,Personalens intressekonto,liability,SEK,0
2792,Lönsparande,liability,SEK,0
2793,Gruppförsäkringspremier,liability,SEK,0
2794,Fackföreningsavgifter,liability,SEK,0
2795,Mätnings- och granskningsarvoden,liability,SEK,0
2799,Övriga löneavdrag,liability,SEK,0
2810,Avräkning för factoring och belånade kontraktsfordringar,liability,SEK,0
2811,Avräkning för factoring,liability,SEK,0
2812,Avräkning för belånade kontraktsfordringar,liability,SEK,0
2820,Kortfristiga skulder till anställda,liability,SEK,0
2821,Löneskulder,liability,SEK,0
2822,Reseräkningar,liability,SEK,0
2823,"Tantiem, gratifikationer",liability,SEK,0
2829,Övriga kortfristiga skulder till anställda,liability,SEK,0
2830,Avräkning för annans räkning,liability,SEK,0
2840,Kortfristiga låneskulder,liability,SEK,0
2841,Kortfristig del av långfristiga skulder,liability,SEK,0
2849,Övriga kortfristiga låneskulder,liability,SEK,0
2850,Avräkning för skatter och avgifter (skattekonto),liability,SEK,0
